threshold,flagged,precision,recall,f1
0.1,156959,0.309711453309463,0.979172541594489,0.47057912441615646
0.15,139243,0.344247107574528,0.9655158522338154,0.5075361720375459
0.2,125352,0.3764838215584913,0.9505901784635218,0.5393547354826912
0.25,113891,0.4065114890553248,0.9325625428030455,0.5662082586815216
0.3,104949,0.4330770183612993,0.9155017524070419,0.5880009055920308
0.35,97326,0.45797628588455297,0.8978165411110663,0.60655090765588
0.4,88929,0.48834463448368925,0.8747532530314628,0.626779722172109
0.45,79707,0.525098172055152,0.8430487854006365,0.6471284005782626
0.5,71668,0.5608081710107718,0.8095717681182774,0.6626110753911337
0.55,64997,0.5929196732156868,0.7762558917133304,0.6723131809181546
0.6,59103,0.6229125425105324,0.7415703178503807,0.677082088111155
0.65,53121,0.656105871500913,0.7020303750553922,0.6782916695048021
0.7,47358,0.6901473879809114,0.6583410546670426,0.6738691187992247
0.75,41344,0.7272881191950464,0.6056681303629698,0.6609297725024728
0.8,34989,0.7697562090942868,0.5425009064174354,0.636450640987771
0.85,28508,0.8160867125017539,0.4686178141239979,0.5953630012539345
0.9,21430,0.8657489500699953,0.3737058373282843,0.5220608925657043
0.95,12622,0.9271906195531612,0.2357289610441929,0.3758913085372904
